id,domain,feature,reference_evidence,target_evidence,acceptance_test,status,notes
79,billing,Affiliate invite attribution,reference model/user.go Insert,controller/register.go,go test ./controller/ -run TestRegister,PASS,request aff_code resolved to inviter id + InviterId recorded + QuotaForInviter/QuotaForInvitee bonuses gated on PaymentComplianceConfirmed; fixes empty-aff_code unique-collision (BeforeCreate generates own code) that broke 2nd user creation
80,security,Admin/Root role-guard enforcement,reference admin middleware,middleware/auth.go,go test ./middleware/ -run TestRoleGuards,PASS,fixed manual UserAuth()(c) gin Next-chain bypass that ran admin handlers before the role check; TestRoleGuards asserts 401/403/200 matrix for common/admin/root
81,security,Sensitive-word check toggles,reference setting/sensitive.go,service/sensitive.go,go test ./service/ -run TestSensitiveCheckGating,PASS,"CheckSensitiveEnabled + CheckSensitiveOnPromptEnabled option gates (defaults true, matching reference) wired into relay prompt moderation"
82,billing,Low-quota reminder email,reference service/quota.go checkAndSendQuotaNotify,service/quota_reminder.go,go test ./service/ -run TestQuotaReminder,PASS,"QuotaRemindThreshold option (default 1000) sends low-quota email to verified addresses after settlement; 1h anti-spam cooldown (documented improvement, deviation #9)"
83,auth,User self-service API batch,reference api-router selfRoute,controller/self.go,"go test ./controller/ -run ""TestSelf|TestOAuth|TestUpdateUserSetting|TestRevokeOther|TestTelegramBind|TestRegenerateBackup""",PASS,"aff info+transfer (aff-quota accumulation + QuotaPerUnit-minimum + row-locked transfer), sessions revoke-others, passkey list/delete-all (+auth-version bump keeping current session), 2FA backup-code regeneration, per-user quota warning setting wired into reminder, OAuth bindings list/unbind with last-auth-method guard, Telegram bind ceremony"
84,data,PasskeyCredential multi-passkey schema,reference multiple passkeys,model/user.go,go test ./controller/ -run TestSelfPasskey,PASS,user_id uniqueIndex replaced with index so users can register multiple passkeys
85,protocol,Claude Messages relay (/v1/messages),reference router/relay-router.go:88,relay/claude_messages.go,go test ./relay/ -run TestClaudeMessages,PASS,Claude-format request moderated+billed+settled; native Anthropic passthrough (SSE + usage) or Claude<->OpenAI conversion (request + non-stream response + SSE event stream) via protocolkit; validation returns Claude-shaped errors
86,protocol,Relay model retrieval (/v1/models/:model),reference controller/model.go RetrieveModel,controller/relay.go,go test ./relay/ -run TestRelayRetrieveModel,PASS,group-visible model entry (OpenAI + Anthropic header shapes); 404 model_not_found otherwise
87,protocol,Unimplemented relay endpoints parity,reference controller.RelayNotImplemented,controller/relay.go,go test ./relay/ -run TestRelayNotImplemented,PASS,files/fine-tunes/images-variations/model-deletion return the reference's exact structured 501 api_not_implemented
88,protocol,Legacy edits relay (/v1/edits),reference router/relay-router.go:114,router/router.go,go test ./relay/ -run TestRelayEditsPassthrough,PASS,edits mode routed through the shared relay engine to /v1/edits upstream with settlement
89,protocol,Responses compaction relay (POST /v1/responses/compact),reference router/relay-router.go:104 + relay_responses_compact.go,relay/channel/openai/openai.go,go test ./relay/ -run TestRelayResponsesCompact,PASS,upstream path /v1/responses/compact; compaction usage (input/output tokens) settled; upstream error envelope surfaced
90,protocol,Alpha search relay (POST /v1/alpha/search),reference relay/alpha_search_handler.go,relay/controller.go + relay/channel/openai/openai.go,go test ./relay/ -run TestRelayAlphaSearch,PASS,"verbatim passthrough with upstream content-type; channel gate (Sub2API/NewAPI/Codex/AdvancedCustom only, others retry); billed via prompt estimate (deviation #11)"
91,protocol,Native Gemini passthrough (POST /v1beta/models/*path + /v1/models/*path),reference router/relay-router.go:149/202 + relay-gemini-native.go,relay/gemini_native.go,go test ./relay/ -run TestGeminiNative,PASS,"model from URL path; native body verbatim to Gemini channels (generateContent/streamGenerateContent + usage extraction, SSE passthrough); OpenAI channels convert Gemini<->OpenAI both directions"
92,protocol,Gemini model-list flavors (GET /v1beta/models + /v1beta/openai/models + x-goog-api-key /v1/models),reference router/relay-router.go:23-57,controller/relay.go,go test ./relay/ -run TestGeminiModelListShapes,PASS,"{""models"":[{""name"",""displayName""}],""nextPageToken"":null} for Gemini clients; OpenAI shape otherwise"
93,protocol,Gemini engines embeddings (POST /v1/engines/:model/embeddings),reference relay/channel/gemini/adaptor.go ConvertEmbeddingRequest,relay/channel/gemini/gemini.go,go test ./relay/ -run TestRelayEnginesEmbeddingsViaGemini,PASS,OpenAI embedding input converted to batch requests payload at batchEmbedContents; batch response converted back to OpenAI list shape; prompt-token billing
94,protocol,Unknown relay path fallback (NoRoute),reference router/web-router.go + controller.RelayNotFound,controller/relay.go + router/router.go,go test ./relay/ -run TestRelayNotFoundSurface,PASS,unknown /v1 /api /assets paths return structured 404 Invalid URL; other paths fall through to the SPA
95,api,Admin status test endpoint (GET /api/status/test),reference controller/misc.go TestStatus,controller/status.go,go test ./router/ -run TestStatusTestEndpoint,PASS,AdminAuth-guarded DB ping; 503 on unreachable DB; http_stats empty (TokenRouter tracks no request counters)
96,api,Subscription self alias (GET /api/subscription/self),reference router/api-router.go:160,router/router.go,go test ./router/ -run TestSubscriptionSelfAlias,PASS,same handler as /api/user/subscription at the reference path
97,tooling,Exact route-table verification,previous suffix matcher produced false PASSes,scripts/verify-api-matrix.sh + router/routes_dump_test.go,bash scripts/verify-api-matrix.sh,PASS,"matrix rows are now matched exactly against the routes dumped from router.SetUpRouter() (param/wildcard normalized, trailing slashes normalized); previously-inflated PASS counts corrected (85->116 NOT_STARTED)"
98,security,Channel key masking + step-up disclosure (POST /api/channel/:id/key),reference channel-router.go:23 + controller GetChannelKey,controller/channel.go + middleware/secure_verification.go,go test ./controller/ -run TestChannelKey,PASS,list/get never disclose upstream keys; disclosure requires RootAuth + 2FA-or-passkey security proof (403 SECURITY_PROOF_REQUIRED/SCOPE_MISMATCH/INVALID contracts); audit log written
99,security,Universal step-up verification (POST /api/verify),reference controller/secure_verification.go UniversalVerify,controller/secure_verify.go,go test ./controller/ -run TestUniversalVerify,PASS,2FA TOTP verified -> short-lived JWT proof bound to session identity (user/sid/auth-version/session-version) for channel.key.read|passkey.register|passkey.delete scopes
100,security,Passkey step-up verify flow (POST /api/user/passkey/verify/begin|finish),reference controller/passkey.go PasskeyVerifyBegin/Finish,controller/passkey.go + service/passkey.go,go test ./controller/ -run TestPasskeyVerify,PASS,assertion options issued bound to user+session; flow tokens single-use and session-bound (cross-session consumption rejected); finish issues a passkey-method proof for the requested scope
101,security,Passkey register/delete 2FA step-up gates,reference controller/passkey.go requirePasskeyRegistrationVerification/requirePasskeyDeleteVerification,controller/passkey.go + controller/self.go,go test ./controller/ -run TestPasskeyRegisterGate|TestPasskeyDelete,PASS,users with 2FA enabled need a 2FA proof for passkey.register/passkey.delete; without 2FA the delete path returns the reference's success:false when no passkey exists
102,security,Security-proof token service,reference service/auth_token.go IssueSecurityProof/VerifySecurityProof,service/security_proof.go,go test ./service/ -run TestIssueAndVerifySecurityProof,PASS,"HMAC-JWT proofs with 5-minute TTL; invalidated by session/user/version mismatch, scope mismatch, method mismatch, tampering, expiry"
103,api,OAuth state ceremony (POST /api/oauth/state),reference controller/oauth.go GenerateOAuthCode,controller/oauth.go + service/oauth.go,go test ./controller/ -run TestGenerateOAuthState,PASS,login/bind intents with 10-min single-use flow tokens; bind requires a session and binds flow to user+sid; bind forbids affiliate code; unknown provider/intent or aff>32 rejected; flows carry provider+intent+affiliate payload
104,api,Email bind via verification code (POST /api/oauth/email/bind),reference controller/oauth.go EmailBind,controller/admin_security.go + service/verification.go,go test ./controller/ -run TestEmailBind,PASS,code keyed to normalized email (case/whitespace-insensitive lookup); single-use; taken email rejected with ErrEmailAlreadyTaken contract; binds email + sets email_verified
105,security,Admin reset passkey (DELETE /api/user/:id/reset_passkey),reference controller/admin_security.go AdminResetPasskey,controller/admin_security.go,go test ./controller/ -run TestAdminResetPasskey,PASS,root-or-higher-role guard (403 no permission); deletes all passkeys and revokes all sessions; success:false 该用户尚未绑定 Passkey when none bound; audit log written
106,api,Admin 2FA stats (GET /api/user/2fa/stats),reference controller/admin_security.go Admin2FAStats,controller/admin_security.go,go test ./controller/ -run TestAdmin2FAStats,PASS,returns total_users/enabled_users/enabled_rate with one-decimal percentage string
107,security,Admin force-disable 2FA (DELETE /api/user/:id/2fa),reference controller/admin_security.go AdminDisable2FA,controller/admin_security.go,go test ./controller/ -run TestAdminDisable2FA,PASS,same-level-or-higher target rejected with 无权操作同级或更高级用户的2FA设置; disables 2FA and revokes all sessions; success:false 用户未启用2FA when off; audit log written
108,security,Anonymous request-body limit middleware,reference middleware/request_body_limit.go + api-router.go chains,middleware/request_body_limit.go + common/request_body_limit.go,go test ./middleware/ -run TestAnonymousRequestBodyLimit,PASS,"413 on oversize / 400 on unreadable bodies; ANONYMOUS_REQUEST_BODY_LIMIT_KB (default 512 KB, negative falls back, zero disables); wired on setup/user-reset/oauth-state/stripe-webhook/register/login/login-2fa/passkey-login-begin/finish matching the reference chains (login-family endpoints also gained DisableCache parity)"
109,security,TurnstileCheck middleware on bot-protected endpoints,reference middleware/turnstile-check.go + api-router.go chains,middleware/turnstile_check.go,go test ./middleware/ -run TestTurnstileCheck,PASS,query-param contract with reference-verbatim rejection messages; fails open when unconfigured; wired on verification/reset_password/register/login/checkin; register/login in-controller body-token checks removed (middleware is the single gate)
110,security,Email verification per-IP rate limit,reference middleware/email-verification-rate-limit.go,middleware/email_verification_rate_limit.go,go test ./middleware/ -run TestEmailVerificationRateLimit,PASS,"2 sends per 30s window per IP (shared KV store, memory fallback on store errors); 429 with wait-seconds message; replaces CriticalRateLimit on POST /api/verification"
111,config,Turnstile option keys + status exposure,reference model/option.go TurnstileCheckEnabled/TurnstileSiteKey/TurnstileSecretKey + misc.go GetStatus,setting/setting.go + service/turnstile.go + controller/status.go,go test ./controller/ -run TestRegisterTurnstileGate,PASS,TurnstileCheckEnabled (reference key) is authoritative with legacy TurnstileEnabled key and TURNSTILE_SECRET_KEY env fallbacks; /api/status exposes turnstile_check + turnstile_site_key; settings editor renamed to reference key + site/secret key inputs
112,api,User token-management group (/api/token),reference router/api-router.go token group + controller/token.go,controller/token_group.go + service/token.go + router/router.go,go test ./controller/ -run 'TestToken',PASS,"user-scoped CRUD with masked keys everywhere except rate-limited disclosure endpoints (POST /:id/key, POST /batch/keys); paged {page,page_size,total,items} list; LIKE search with reference sanitization (ESCAPE '!', %-count limits, fuzzy guard over max-token sets); name<=50/quota-range/max-token-count validations; status_only updates with expired/exhausted re-enable guards; group-auto JSON auto-groups; old admin-scoped GET /api/token and self-service /api/user/token list/create/delete replaced (frontend repointed)"
113,api,Relay-token usage endpoint (GET /api/usage/token/),reference controller/token.go GetTokenUsage + TokenAuthReadOnly,controller/token_group.go GetTokenUsage + middleware/auth.go TokenAuthReadOnly,go test ./controller/ -run TestTokenUsageEndpoint,PASS,"token_usage contract (total_granted/used/available, unlimited_quota, model_limits map, expires_at); bearer-authenticated without usability enforcement; TokenAuthReadOnly matches stored sk-prefixed keys (deviation #13)"
114,tooling,API matrix exact-match regression fix,update script substring grep re-introduced false PASSes,scripts/verify-api-matrix.sh + scripts/update-api-matrix.sh,bash scripts/verify-api-matrix.sh && bash scripts/update-api-matrix.sh,PASS,classify() now uses exact field comparison (awk) instead of substring grep -F and the verify pass normalizes trailing slashes in the route dump; ~7 previously-inflated PASSes corrected and re-verified against the exact route table
115,billing,Subscription admin management (plans + user subscriptions),reference controller/subscription.go admin handlers + model/subscription.go bind/reset/invalidate/delete + router/api-router.go subscription/admin group,service/subscription_admin.go + controller/subscription_admin.go + router/router.go,go test ./controller/ -run TestAdminSubscription,PASS,11 AdminAuth routes: plan list/create/update/status-patch; bind + per-user create; subscription list; per-user and plan-wide quota resets (SubscriptionResetResult contract; advance_reset_time default true; per-user manage logs); invalidate + hard delete with group downgrade (explicit downgrade-group precedence; PrevUserGroup legacy revert; active-upgraded-sub guard); payment-compliance gate on create/update/status/bind; reference Chinese validation messages incl. purchase cap; calendar-aligned reset times; row-locked transactions (no-op on SQLite); reference admin audit-table entries not ported (manage logs + SysLog only)
116,billing,User subscription purchase path unification,reference model/subscription.go PurchaseSubscriptionWithBalance -> CreateUserSubscriptionFromPlanTx (stacking; calendar-accurate durations; purchase cap; PrevUserGroup snapshot; balance quota deduction),service/subscription.go PurchaseSubscriptionWithBalance + controller/subscription.go SubscriptionRequestBalancePay + router /api/subscription/balance/pay,go test ./controller/ -run TestSubscriptionBalancePay,PASS,"purchase now uses the reference-accurate createUserSubscriptionFromPlanTx transaction (stacking, per-user purchase cap, calendar-aligned end/reset times, group upgrade with previous-group snapshot, wallet quota deduction with row lock) plus a completed order row and top-up system log; compliance gate, parameter validation, balance checks and funded-purchase side effects covered by TestSubscriptionBalancePay (green in the full controller suite)"
118,api,Dashboard access token generation (GET /api/user/token),reference controller/user.go GenerateAccessToken + UpdateUserAccessToken,controller/user.go + service/access_token.go,go test ./controller/ -run TestGenerateAccessToken,PASS,"base64 PAT (28-32 chars) stored in users.access_token, replaces the previous token on regeneration; UserAuth + CriticalRateLimit + UserCriticalRateLimit('access-token') + DisableCache chain"
119,security,Dashboard access token (PAT) authentication,reference middleware/auth.go classifyDashboardCredential ValidateAccessToken,service/access_token.go + middleware/auth.go authenticateUser,go test ./controller/ -run TestAccessTokenAuthenticatesAdminRoutes,PASS,Authorization Bearer header falls back from session JWT to users.access_token lookup for UserAuth/AdminAuth/RootAuth routes; disabled users rejected; old tokens stop working after regeneration
120,api,Admin user search (GET /api/user/search),reference controller/user.go SearchUsers + model.SearchUsers,controller/admin_user.go + service/user.go SearchUsers,go test ./controller/ -run TestAdminSearchUsers,PASS,"keyword LIKE search (numeric keywords also match id), group/role/status filters with status=-1 selecting soft-deleted users, sort_by/sort_order whitelist (id/username/quota/group/created_at/last_login_at, fallback id desc) via dialect-quoted clause ordering, pageInfo shape, password/access_token omitted"
121,api,Admin user manage (POST /api/user/manage),reference controller/user.go ManageUser,controller/admin_user.go,go test ./controller/ -run TestAdminManageUser,PASS,"disable/enable/delete/promote/demote/add_quota(add|subtract|override) with reference role guards and Chinese messages (Root-user protections, same-level rejection, admin-promote root-only, quota value>0); demote and quota changes audit-logged; demote revokes all sessions; delete soft-deletes; response {success,message,data:{role,status}}"
122,api,Channel read surface (search / models / models_enabled / ops),reference router/channel-router.go:41-44 + controller/channel.go SearchChannels/GetChannelOps + controller/model.go ChannelListModels/EnabledListModels,controller/channel.go + service/channel_search.go,go test ./controller/ -run 'TestChannelSearch|TestChannelListModels|TestChannelOps',PASS,"keyword (id/name/exact-key/base-url) + model substring + group comma-list filter (LIKE escape, dialect-quoted) + status (enabled/1/disabled/0) + type filters; tag_mode via distinct-tag subquery with per-tag fetch (group/status/type filters, not keyword — reference semantics); sort whitelist id/name/priority/balance/response_time/test_time with id_sort and priority-desc default; in-memory status filter then type_counts then type filter (reference order); p/page_size paging; keys omitted; multikey disabled internals stripped; {success,message,data:{items,total,type_counts}} shape; models catalog from models table; enabled models union from enabled channels; ops returns retry_times (option > RETRY_TIMES env > 2)"
123,api,Channel test endpoints + system tasks (GET /api/channel/test + /test/:id),reference controller/channel-test.go TestChannel/TestAllChannels + model/system_task.go + service/system_task.go EnqueueSystemTask/claim pass,controller/channel.go + model/system_task.go + service/system_task.go + service/system_task.go runner,go test ./controller/ -run 'TestChannelTest',PASS,"single-channel test returns {success,message,time:<seconds>} (time 0.0 on failure) and persists response_time; test-all enqueues a channel_test system task (active_key unique dedupe: 409 {success:false,message:已有通道测试任务正在运行或等待中，不能启动本次手动任务,data:{task_id,status,type}} while pending/running; 200 {task_id,status} on create); background runner claims pending tasks (lease CAS, 24h stale-expiry), sweeps testable channels recording response_time/test_time/auto-ban and persists {tested,succeeded,failed,disabled,enabled} into result then clears active_key; Notify payload stored but no admin message delivery (deviation #14)"
